#ice-age (yr b1950)	R
30586.8	0.624853953
30638	0.639303157
30688.03333	0.639303157
30738.06667	0.639303157
30788.1	0.637120953
30838.33333	0.637120953
30888.56667	0.637120953
30938.8	0.626681366
30989.93333	0.626681366
31041.06667	0.626681366
31092.2	0.63670298
31142.6	0.63670298
31193	0.63670298
31243.4	0.665081353
31291.66667	0.665081353
31339.93333	0.665081353
31388.2	0.633602209
31438.93333	0.633602209
31489.66667	0.633602209
31540.4	0.600737925
31593.93333	0.600737925
31647.46667	0.600737925
31701	0.610322126
31753.66667	0.610322126
31806.33333	0.610322126
31859	0.621203986
31910.83333	0.621203986
31962.66667	0.621203986
32014.5	0.598978554
32068.23333	0.598978554
32121.96667	0.598978554
32175.7	0.655647816
32224.83333	0.655647816
32273.96667	0.655647816
32323.1	0.67521961
32370.83333	0.67521961
32418.56667	0.67521961
32466.3	0.668648698
32514.5	0.668648698
32562.7	0.668648698
32610.9	0.641271514
32661.26667	0.641271514
32711.63333	0.641271514
32762	0.652308898
32811.56667	0.652308898
32861.13333	0.652308898
32910.7	0.63295095
32961.8	0.63295095
33012.9	0.63295095
33064	0.573127455
33120.53333	0.573127455
33177.06667	0.573127455
33233.6	0.58964222
33288.53333	0.58964222
33343.46667	0.58964222
33398.4	0.626691087
33450.2	0.626691087
33502	0.626691087
33553.8	0.674787058
33601.96667	0.674787058
33650.13333	0.674787058
33698.3	0.682320279
33745.93333	0.682320279
33793.56667	0.682320279
33841.2	0.647089105
33891.4	0.647089105
33941.6	0.647089105
33991.8	0.653528794
34041.6	0.653528794
34091.4	0.653528794
34141.2	0.619848006
34193.86667	0.619848006
34246.53333	0.619848006
34299.2	0.573132315
34356.1	0.573132315
34413	0.573132315
34469.9	0.575042351
34526.66667	0.575042351
34583.43333	0.575042351
34640.2	0.600650443
34694.6	0.600650443
34749	0.600650443
34803.4	0.593326208
34858.53333	0.593326208
34913.66667	0.593326208
34968.8	0.64658365
35019.46667	0.64658365
35070.13333	0.64658365
35120.8	0.653655158
35170.93333	0.653655158
35221.06667	0.653655158
35271.2	0.67010674
35320.16667	0.67010674
35369.13333	0.67010674
35418.1	0.665980479
35467.43333	0.665980479
35516.76667	0.665980479
35566.1	0.682966678
