#depth (m)	ice-age (yr b1950)	origin	thinning
339.9	11.0833	NaN	NaN
340.45	11.10353333	NaN	NaN
341	11.12376667	NaN	NaN
341.55	11.144	NaN	NaN
342.1	11.16276667	NaN	NaN
342.65	11.18153333	NaN	NaN
343.2	11.2003	NaN	NaN
343.75	11.21996667	NaN	NaN
344.3	11.23963333	NaN	NaN
344.85	11.2593	NaN	NaN
345.4	11.28003333	NaN	NaN
345.95	11.30076667	NaN	NaN
346.5	11.3215	NaN	NaN
347.05	11.34023333	NaN	NaN
347.6	11.35896667	NaN	NaN
348.15	11.3777	NaN	NaN
348.7	11.39726667	NaN	NaN
349.25	11.41683333	NaN	NaN
349.8	11.4364	NaN	NaN
350.35	11.45566667	NaN	NaN
350.9	11.47493333	NaN	NaN
351.45	11.4942	NaN	NaN
352	11.51323333	NaN	NaN
352.55	11.53226667	NaN	NaN
353.1	11.5513	NaN	NaN
353.65	11.57183333	NaN	NaN
354.2	11.59236667	NaN	NaN
354.75	11.6129	NaN	NaN
355.3	11.6315	NaN	NaN
355.85	11.6501	NaN	NaN
356.4	11.6687	NaN	NaN
356.95	11.68733333	NaN	NaN
357.5	11.70596667	NaN	NaN
358.05	11.7246	NaN	NaN
358.6	11.74533333	NaN	NaN
359.15	11.76606667	NaN	NaN
359.7	11.7868	NaN	NaN
360.25	11.80683333	NaN	NaN
360.8	11.82686667	NaN	NaN
361.35	11.8469	NaN	NaN
361.9	11.86643333	NaN	NaN
362.45	11.88596667	NaN	NaN
363	11.9055	NaN	NaN
363.55	11.92573333	NaN	NaN
364.1	11.94596667	NaN	NaN
364.65	11.9662	NaN	NaN
365.2	11.98736667	NaN	NaN
365.75	12.00853333	NaN	NaN
366.3	12.0297	NaN	NaN
366.85	12.05243333	NaN	NaN
367.4	12.07516667	NaN	NaN
367.95	12.0979	NaN	NaN
368.5	12.12116667	NaN	NaN
369.05	12.14443333	NaN	NaN
369.6	12.1677	NaN	NaN
370.15	12.19086667	NaN	NaN
370.7	12.21403333	NaN	NaN
371.25	12.2372	NaN	NaN
371.8	12.2614	NaN	NaN
372.35	12.2856	NaN	NaN
372.9	12.3098	NaN	NaN
373.45	12.33583333	NaN	NaN
374	12.36186667	NaN	NaN
374.55	12.3879	NaN	NaN
375.1	12.41306667	NaN	NaN
375.65	12.43823333	NaN	NaN
376.2	12.4634	NaN	NaN
376.75	12.48826667	NaN	NaN
377.3	12.51313333	NaN	NaN
377.85	12.538	NaN	NaN
378.4	12.5657	NaN	NaN
378.95	12.5934	NaN	NaN
379.5	12.6211	NaN	NaN
380.05	12.6481	NaN	NaN
380.6	12.6751	NaN	NaN
381.15	12.7021	NaN	NaN
381.7	12.72976667	NaN	NaN
382.25	12.75743333	NaN	NaN
382.8	12.7851	NaN	NaN
383.35	12.81586667	NaN	NaN
383.9	12.84663333	NaN	NaN
384.45	12.8774	NaN	NaN
385	12.90686667	NaN	NaN
385.55	12.93633333	NaN	NaN
386.1	12.9658	NaN	NaN
386.65	12.9955	NaN	NaN
387.2	13.0252	NaN	NaN
387.75	13.0549	NaN	NaN
388.3	13.0845	NaN	NaN
388.85	13.1141	NaN	NaN
389.4	13.1437	NaN	NaN
389.95	13.173	NaN	NaN
390.5	13.2023	NaN	NaN
391.05	13.2316	NaN	NaN
391.6	13.26106667	NaN	NaN
392.15	13.29053333	NaN	NaN
392.7	13.32	NaN	NaN
393.25	13.3498	NaN	NaN
393.8	13.3796	NaN	NaN
394.35	13.4094	NaN	NaN
394.9	13.43823333	NaN	NaN
395.45	13.46706667	NaN	NaN
396	13.4959	NaN	NaN
396.55	13.52423333	NaN	NaN
397.1	13.55256667	NaN	NaN
397.65	13.5809	NaN	NaN
398.2	13.6092	NaN	NaN
398.75	13.6375	NaN	NaN
399.3	13.6658	NaN	NaN
399.85	13.69683333	NaN	NaN
400.4	13.72786667	NaN	NaN
400.95	13.7589	NaN	NaN
401.5	13.7875	NaN	NaN
402.05	13.8161	NaN	NaN
402.6	13.8447	NaN	NaN
403.15	13.87356667	NaN	NaN
403.7	13.90243333	NaN	NaN
404.25	13.9313	NaN	NaN
404.8	13.96223333	NaN	NaN
405.35	13.99316667	NaN	NaN
405.9	14.0241	NaN	NaN
406.45	14.05383333	NaN	NaN
407	14.08356667	NaN	NaN
407.55	14.1133	NaN	NaN
408.1	14.14126667	NaN	NaN
408.65	14.16923333	NaN	NaN
409.2	14.1972	NaN	NaN
409.75	14.2262	NaN	NaN
410.3	14.2552	NaN	NaN
410.85	14.2842	NaN	NaN
411.4	14.3102	NaN	NaN
411.95	14.3362	NaN	NaN
412.5	14.3622	NaN	NaN
413.05	14.38993333	NaN	NaN
413.6	14.41766667	NaN	NaN
414.15	14.4454	NaN	NaN
414.7	14.4724	NaN	NaN
415.25	14.4994	NaN	NaN
415.8	14.5264	NaN	NaN
416.35	14.55296667	NaN	NaN
416.9	14.57953333	NaN	NaN
417.45	14.6061	NaN	NaN
418	14.62936667	NaN	NaN
418.55	14.65263333	NaN	NaN
419.1	14.6759	NaN	NaN
419.65	14.70083333	NaN	NaN
420.2	14.72576667	NaN	NaN
420.75	14.7507	NaN	NaN
421.3	14.77846667	NaN	NaN
421.85	14.80623333	NaN	NaN
422.4	14.834	NaN	NaN
422.95	14.86203333	NaN	NaN
423.5	14.89006667	NaN	NaN
424.05	14.9181	NaN	NaN
424.6	14.9472	NaN	NaN
425.15	14.9763	NaN	NaN
425.7	15.0054	NaN	NaN
426.25	15.0365	NaN	NaN
426.8	15.0676	NaN	NaN
427.35	15.0987	NaN	NaN
427.9	15.12836667	NaN	NaN
428.45	15.15803333	NaN	NaN
429	15.1877	NaN	NaN
429.55	15.21636667	NaN	NaN
430.1	15.24503333	NaN	NaN
430.65	15.2737	NaN	NaN
431.2	15.30386667	NaN	NaN
431.75	15.33403333	NaN	NaN
432.3	15.3642	NaN	NaN
432.85	15.39306667	NaN	NaN
433.4	15.42193333	NaN	NaN
433.95	15.4508	NaN	NaN
434.5	15.481	NaN	NaN
435.05	15.5112	NaN	NaN
435.6	15.5414	NaN	NaN
436.15	15.5718	NaN	NaN
